2 1.753931
3 1.734162
4 1.727222
5 1.724006
6 1.722257
7 1.721203
8 1.720519
9 1.720049
10 1.719713
11 1.719465
12 1.719276
13 1.719129
14 1.719012
15 1.718918
16 1.718841
17 1.718777
18 1.718724
19 1.718678
20 1.718640
21 1.718607
22 1.718578
23 1.718553
24 1.718530
25 1.718511
26 1.718494
27 1.718478
28 1.718464
29 1.718452
30 1.718441
31 1.718431
32 1.718422
33 1.718413
34 1.718406
35 1.718399
36 1.718392
37 1.718386
38 1.718381
39 1.718376
40 1.718371
41 1.718367
42 1.718363
43 1.718359
44 1.718356
45 1.718353
46 1.718349
47 1.718347
48 1.718344
49 1.718341
50 1.718339
51 1.718337
52 1.718335
53 1.718333
54 1.718331
55 1.718329
56 1.718327
57 1.718326
58 1.718324
59 1.718323
60 1.718322
61 1.718320
62 1.718319
63 1.718318
64 1.718317
65 1.718316
66 1.718315
67 1.718314
68 1.718313
69 1.718312
70 1.718311
71 1.718310
72 1.718309
73 1.718309
74 1.718308
75 1.718307
76 1.718307
77 1.718306
78 1.718305
79 1.718305
80 1.718304
81 1.718304
82 1.718303
83 1.718303
84 1.718302
85 1.718302
86 1.718301
87 1.718301
88 1.718300
89 1.718300
90 1.718300
91 1.718299
92 1.718299
93 1.718298
94 1.718298
95 1.718298
96 1.718297
97 1.718297
98 1.718297
99 1.718296
100 1.718296
