2 1.324361
3 1.447782
4 1.512437
5 1.552177
6 1.579067
7 1.598469
8 1.613126
9 1.624589
10 1.633799
11 1.641361
12 1.647681
13 1.653041
14 1.657645
15 1.661642
16 1.665145
17 1.668240
18 1.670994
19 1.673461
20 1.675683
21 1.677695
22 1.679526
23 1.681199
24 1.682733
25 1.684145
26 1.685450
27 1.686658
28 1.687781
29 1.688827
30 1.689803
31 1.690717
32 1.691574
33 1.692379
34 1.693137
35 1.693852
36 1.694527
37 1.695166
38 1.695772
39 1.696347
40 1.696893
41 1.697412
42 1.697907
43 1.698379
44 1.698830
45 1.699261
46 1.699673
47 1.700067
48 1.700445
49 1.700808
50 1.701156
51 1.701491
52 1.701813
53 1.702123
54 1.702421
55 1.702708
56 1.702986
57 1.703253
58 1.703512
59 1.703761
60 1.704003
61 1.704236
62 1.704462
63 1.704681
64 1.704893
65 1.705098
66 1.705297
67 1.705491
68 1.705678
69 1.705861
70 1.706038
71 1.706210
72 1.706377
73 1.706540
74 1.706698
75 1.706852
76 1.707002
77 1.707148
78 1.707291
79 1.707430
80 1.707565
81 1.707697
82 1.707826
83 1.707952
84 1.708074
85 1.708194
86 1.708311
87 1.708426
88 1.708537
89 1.708647
90 1.708753
91 1.708858
92 1.708960
93 1.709060
94 1.709158
95 1.709254
96 1.709348
97 1.709440
98 1.709530
99 1.709618
100 1.709705
